scenario_id,location,timezone,weather_year,random_seed,pv_capacity_kwp,wind_capacity_kw,annual_load_kwh,peak_load_kw,reliability_target_load_served,round_trip_efficiency,usable_soc_window_fraction,feasible,optimal_n_modules,optimal_capacity_kwh,reference_lpsp,reference_system_lcoe_eur_per_kwh,reference_renewable_share,reference_annualized_cost,infeasibility_reason,mechanistic_optimization_runtime_seconds,annual_pv_kwh,annual_wind_kwh,annual_renewable_kwh
33,jinan,Asia/Shanghai,2023,4200159,2365.693320125737,1744.6255483246816,1223850.6621801932,790.3608092221673,0.9960955865942795,0.8826646560215752,0.7802711115106775,True,8,2000.0,0.0,0.4136510067070736,0.9847827868293948,77702.74497927396,,0.2837576569997964,3039166.833518603,2309927.848610417,5349094.68212902
34,jinan,Asia/Shanghai,2023,4200160,3186.9046441510905,1408.9030559405458,2459589.325811166,1145.4201861135084,0.9931322828106856,0.9568010204029652,0.7597887302237811,True,17,4250.0,0.0,0.2779167880401684,0.9635732076696396,165118.33308095718,,0.2928763239999625,4094163.353166848,1865422.8742864411,5959586.22745329
35,jinan,Asia/Shanghai,2023,4200161,2270.960752649447,914.4921219461012,2656572.7690018555,1180.8854402804627,0.9916883431374556,0.8876330432112187,0.768385387709132,True,20,5000.0,0.0,0.2464621591330962,0.9223733046528914,194256.86244818493,,0.291010389000121,2917465.48082057,1210810.435423593,4128275.916244163
36,jinan,Asia/Shanghai,2023,4200162,1476.0281915500311,1836.3166659613075,4006572.893010884,1029.4338468888757,0.995316703147474,0.9388095288108546,0.7598766583029651,True,23,5750.0,0.0,0.2923645597511443,0.7653859982163302,223395.39181541264,,0.2957864620000237,1896228.8505168,2431329.18100661,4327558.03152341
37,jinan,Asia/Shanghai,2023,4200163,1224.1161848799889,780.4862249035974,2023840.289642139,1168.0300835553478,0.992549222399251,0.9305340454972946,0.8583948850282748,True,14,3500.0,0.0,0.2420398088487022,0.8913840551699114,135979.80371372943,,0.2787882600000557,1572601.6883975707,1033383.2770549982,2605984.965452569
38,jinan,Asia/Shanghai,2023,4200164,2851.472328127141,989.0952654515472,3724163.735509646,1294.4368363817762,0.9960713772928113,0.9533174598806096,0.8805107938438463,True,25,6250.0,0.0,0.2278151528273876,0.9106045049862872,242821.0780602312,,0.2869353609999052,3663239.0397414137,1309586.862802288,4972825.902543701
39,jinan,Asia/Shanghai,2023,4200165,1492.2072261646,1874.6923116604708,1457417.2361888778,733.8080855015446,0.996404022374371,0.8935408610401727,0.7094748040010963,True,10,2500.0,0.0,0.3514541066594485,0.9607608272796035,97128.43122409248,,0.2858298449998528,1917013.787000593,2482139.4954571966,4399153.282457789
40,jinan,Asia/Shanghai,2023,4200166,914.6161149155922,1853.881748355229,1249076.843651954,447.7380735519194,0.9902815516161148,0.8899566520805983,0.8240298573256593,True,8,2000.0,0.0,0.3532499840311784,0.956575914125362,77702.74497927396,,0.2859966109999732,1174992.0998658305,2454585.7892935965,3629577.889159427
41,jinan,Asia/Shanghai,2023,4200167,1224.9167262172573,1224.5816907752182,4328035.528660469,1141.907099744268,0.9900426725362068,0.956803251340813,0.8238238172853948,True,15,3750.0,0.0,0.3167154036519224,0.613356347951042,145692.6468361387,,0.3052937399997972,1573630.130529266,1621376.7780349364,3195006.9085642025
42,jinan,Asia/Shanghai,2023,4200168,931.1559843666024,1447.5717684734627,2116602.863143014,782.6573366611455,0.9989259702833584,0.8803606844260006,0.7033159603795114,True,13,3250.0,0.0,0.2949012847083179,0.834993988973903,126266.9605913202,,0.2935507450001751,1196240.5948582268,1916621.2165527623,3112861.8114109896
